企業名,EDINETコード,成功/失敗,データソース,売上高（円）,売上高（兆円）,営業利益（円）,営業利益（億円）,総資産（円）,総資産（兆円）,現金及び現金同等物（円）,現金及び現金同等物（億円）,株主資本（円）,有利子負債（円）,有利子負債（億円）,実効税率,ROIC（%）,エラー内容,エラー詳細
トヨタ自動車,E02144,成功,edinet_xbrl_real,48036704000000,48.04,4795586000000,47956,93601350000000,93.60,-134089000000,-1341,0.136,9416031000000,94160,0.3,3.58,,
ソニーグループ,E01777,成功,edinet_xbrl_real,0,0,0,0,35293173000000,35.29,0,0,0,0,0,0.3,0.00,,
本田技研工業,E02166,成功,edinet_xbrl_real,21688767000000,21.69,1213486000000,12135,30775867000000,30.78,-56433000000,-564,0.067,0,0,0.3,2.76,,
任天堂,E02367,成功,edinet_xbrl_real,1164922000000,1.16,282553000000,2826,3398515000000,3.40,-9317000000,-93,34821000000,0,0,0.25106155544394637,6.21,,
ソフトバンクグループ,E04426,成功,edinet_xbrl_real,6544349000000,6.54,989016000000,9890,16102195000000,16.10,-6618000000,-66,0.205,0,0,0.3,4.30,,
キーエンス,E01985,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E01985の2024年度の有価証券報告書が見つかりません
東京エレクトロン,E02652,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E02652の2024年度の有価証券報告書が見つかりません
ファーストリテイリング,E03217,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E03217の2024年度の有価証券報告書が見つかりません
オリエンタルランド,E04707,成功,edinet_xbrl_real,679374000000,0.68,172111000000,1721,1438521000000,1.44,-84624000000,-846,-11966000000,0,0,0.2846648883153098,8.08,,
日本電産,E01975,失敗,,,,,,,,,,,,,,,該当する書類が見つかりません,E01975の2024年度の有価証券報告書が見つかりません